experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high,pilot_vs_raw_gain_mean,pilot_vs_observable_gain_mean,pilot_vs_combined_gap_mean,pilot_oracle_gap_mean,pilot_win_rate
R_pilot_label_calibration,domain_randomized_heldout,combined_repair,64,48,1.2923549226414528,1.2740230039099696,1.310686841372936,0.8655012282739984,0.8535299545806068,0.8774725019673901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155509792907817,0.14465945856796633,0.16636012724766766,0.0,0.0,0.0,0.4268536943674546,0.41430649159796706,0.4394008971369421,0.05353376688967307,0.040745208541235686,0.06632232523811045,0.05353376688967307,0.040745208541235686,0.06632232523811045,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,domain_randomized_heldout,observable_repair,64,48,1.2132176196801843,1.208046158736489,1.2183890806238795,0.866389642553691,0.8544069174493008,0.8783723676580812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15241668501100084,0.1416076189930692,0.16322575102893247,0.0,0.0,0.0,0.3468279771264931,0.33573552522355676,0.35792042902942944,0.052645352609980454,0.03992481910599622,0.0653658861139647,0.052645352609980454,0.03992481910599622,0.0653658861139647,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,domain_randomized_heldout,oracle,64,48,0.9190349951636715,0.9149832979966058,0.9230866923307371,0.9190349951636715,0.9149832979966058,0.9230866923307371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17742355037671742,0.1662320268610846,0.18861507389235024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,domain_randomized_heldout,pilot_calibrated,64,48,0.8120714530195414,0.8002220842659585,0.8239208217731243,0.8529756429946378,0.8393497923259061,0.8666014936633695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17904567334371044,0.1668458655449096,0.19124548114251128,0.0,0.0,0.0,-0.04090418997509639,-0.059614094904512915,-0.022194285045679874,0.06605935216903373,0.05152946923641054,0.08058923510165693,0.06605935216903373,0.05152946923641054,0.08058923510165693,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,domain_randomized_heldout,random,64,48,0.6975265859711467,0.6369055242994078,0.7581476476428856,0.47056689113358025,0.37272397550721814,0.5684098067599423,0.375,0.23659149269782212,0.5134085073021779,0.2916666666666667,0.1617187320118974,0.42161460132143597,0.20833333333333334,0.09222652060395496,0.3244401460627117,0.2708333333333333,0.1437842302814486,0.39788243638521803,0.3246140714998407,0.25339848213458593,0.3958296608650954,0.2916666666666667,0.1617187320118974,0.42161460132143597,0.22695969483756642,0.08039156626528274,0.37352782340985013,0.44846810403009124,0.3505477566852804,0.5463884513749021,0.44846810403009124,0.3505477566852804,0.5463884513749021,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,domain_randomized_heldout,raw,64,48,1.2068545339472259,1.1731032865496571,1.2406057813447946,0.025753198137361374,-0.004486345231409339,0.055992741506132086,0.9583333333333334,0.9012039128428435,1.0154627538238232,0.75,0.6262036676032217,0.8737963323967783,0.7291666666666666,0.602117563614782,0.8562157697185513,0.7916666666666666,0.6755598539372882,0.907773479396045,0.6014549673148132,0.5408656225267953,0.6620443121028311,0.5833333333333334,0.4423850085470938,0.724281658119573,1.1811013358098643,1.1259122889892312,1.2362903826304974,0.8932817970263102,0.8624850307597893,0.924078563292831,0.8932817970263102,0.8624850307597893,0.924078563292831,-0.44993130682301247,-0.502043673136395,-0.39781894050963,0.8272224448572765,-0.013413999559053202,0.012525585279360651,0.06605935216903369,1.0
R_pilot_label_calibration,raw_heldout,combined_repair,64,48,1.3287458895982833,1.3227852649014042,1.3347065142951624,0.8662856992064789,0.8552715513532684,0.8772998470596894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1498185564113818,0.1403328161174961,0.15930429670526752,0.0,0.0,0.0,0.46246019039180436,0.4527073503724701,0.4722130304111386,0.04367198957916276,0.03257646225137359,0.05476751690695193,0.04367198957916276,0.03257646225137359,0.05476751690695193,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,raw_heldout,observable_repair,64,48,1.2118997588041727,1.2071269957502133,1.216672521858132,0.8656120073690521,0.8536218733707452,0.8776021413673589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14611399862618282,0.13683835064571856,0.15538964660664709,0.0,0.0,0.0,0.3462877514351206,0.3357428633326103,0.3568326395376309,0.04434568141658959,0.03199592218644292,0.056695440646736255,0.04434568141658959,0.03199592218644292,0.056695440646736255,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,raw_heldout,oracle,64,48,0.9099576887856416,0.9050103462892547,0.9149050312820286,0.9099576887856416,0.9050103462892547,0.9149050312820286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,-0.015462753823823144,0.09879608715715647,0.20168288356480416,0.17165634193004936,0.23170942519955895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,raw_heldout,pilot_calibrated,64,48,0.8397439495374082,0.8375397092730077,0.8419481898018086,0.845263789525442,0.8307340868747765,0.8597934921761076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18060083490802384,0.17026561676524057,0.1909360530508071,0.0,0.0,0.0,-0.005519839988033753,-0.020291354504495776,0.009251674528428271,0.06469389926019975,0.050143347730175584,0.07924445079022391,0.06469389926019975,0.050143347730175584,0.07924445079022391,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,raw_heldout,random,64,48,0.7417221510666034,0.6607181016673435,0.8227262004658634,0.39975632675956235,0.3004563045122522,0.4990563490068725,0.4375,0.2956734840084624,0.5793265159915376,0.3333333333333333,0.19856095715551764,0.468105709511149,0.3125,0.17998394316480384,0.4450160568351962,0.25,0.12620366760322171,0.3737963323967783,0.3110179861457247,0.24320634065814417,0.3788296316333052,0.4375,0.2956734840084624,0.5793265159915376,0.34196582430704114,0.17028533417482017,0.5136463144392621,0.5102013620260794,0.4109022618322139,0.6095004622199448,0.5102013620260794,0.4109022618322139,0.6095004622199448,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,raw_heldout,raw,64,48,1.2886685216955074,1.2701915667714871,1.3071454766195276,0.0,0.0,0.0,1.0,1.0,1.0,0.7708333333333334,0.6506724507348114,0.8909942159318553,0.9375,0.868295746348911,1.0067042536510888,0.8333333333333334,0.7267864147346045,0.9398802519320623,0.6375092662335095,0.5758831006235277,0.6991354318434913,1.0,1.0,1.0,1.2886685216955074,1.2701915667714871,1.3071454766195276,0.9099576887856416,0.9050103462892547,0.9149050312820286,0.9099576887856416,0.9050103462892547,0.9149050312820286,-0.4485432207806927,-0.4888581101535525,-0.4082283314078329,0.845263789525442,-0.020348217843610072,0.0210219096810369,0.06469389926019964,1.0
R_pilot_label_calibration,target_id_1_heldout,combined_repair,64,48,1.2125191838537903,1.206416416077309,1.2186219516302716,0.7975780495153861,0.7798473110563495,0.8153087879744227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14594412980136945,0.13650226060047357,0.15538599900226532,0.0,0.0,0.0,0.4149411343384041,0.39286483933084243,0.4370174293459658,0.12033313764634301,0.10334863063321023,0.1373176446594758,0.12033313764634301,0.10334863063321023,0.1373176446594758,-0.39873874338448045,-0.4411755954984463,-0.3563018912705146,0.7851225988354029,-0.010861107962209182,0.012455450679983215,0.13278858832632634,1.0
