experiment,scenario,target_id,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high,target_sweep_combined_vs_raw_gain_mean,target_sweep_observable_vs_raw_gain_mean,target_sweep_combined_oracle_gap_mean,target_sweep_observable_oracle_gap_mean,target_sweep_combined_win_rate,target_sweep_observable_win_rate
X_target_identity_sweep,target_identity_sweep,0,combined_repair,64,48,1.326281597589096,1.3188988769035173,1.3336643182746748,0.8698455081234931,0.8580939781138253,0.881597038133161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16032508088368133,0.1487514510662489,0.17189871070111376,0.0,0.0,0.0,0.45643608946560293,0.446396499994554,0.46647567893665187,0.04139825554636136,0.03012644235360714,0.05267006873911558,0.04139825554636136,0.03012644235360714,0.05267006873911558,-0.3738753273037027,-0.4283480372038843,-0.3194026174035211,0.8691905089839317,0.8670935585978788,0.04139825554636145,0.043495205932414294,1.0,1.0
X_target_identity_sweep,target_identity_sweep,0,observable_repair,64,48,1.2095285757886511,1.2034455688567438,1.2156115827205585,0.8677485577374403,0.855432774984424,0.8800643404904566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523491476746952,0.14117848109889794,0.16351981425049247,0.0,0.0,0.0,0.3417800180512109,0.3313875685513955,0.35217246755102627,0.04349520593241432,0.03138793068277494,0.0556024811820537,0.04349520593241432,0.03138793068277494,0.0556024811820537,-0.3738753273037027,-0.4283480372038843,-0.3194026174035211,0.8691905089839317,0.8670935585978788,0.04139825554636145,0.043495205932414294,1.0,1.0
X_target_identity_sweep,target_identity_sweep,0,oracle,64,48,0.9112437636698546,0.9065748233458473,0.9159127039938619,0.9112437636698546,0.9065748233458473,0.9159127039938619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,-0.02,0.06166666666666666,0.19121695620485035,0.16575787977871265,0.21667603263098806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3738753273037027,-0.4283480372038843,-0.3194026174035211,0.8691905089839317,0.8670935585978788,0.04139825554636145,0.043495205932414294,1.0,1.0
X_target_identity_sweep,target_identity_sweep,0,random,64,48,0.6550671351795159,0.5854615779146451,0.7246726924443866,0.4772193116837596,0.38333775815010374,0.5711008652174154,0.3541666666666667,0.21743433725830275,0.4908989960750306,0.2708333333333333,0.1437842302814486,0.39788243638521803,0.125,0.030448989338974927,0.21955101066102506,0.3125,0.17998394316480384,0.4450160568351962,0.355033896298987,0.281462731715881,0.42860506088209305,0.3541666666666667,0.21743433725830275,0.4908989960750306,0.17784782349575637,0.02859885785360905,0.3270967891379037,0.4340244519860949,0.3404607229002775,0.5275881810719123,0.4340244519860949,0.3404607229002775,0.5275881810719123,-0.3738753273037027,-0.4283480372038843,-0.3194026174035211,0.8691905089839317,0.8670935585978788,0.04139825554636145,0.043495205932414294,1.0,1.0
X_target_identity_sweep,target_identity_sweep,0,raw,64,48,1.290962177114622,1.2735241478051722,1.3084002064240718,0.0006549991395614109,-0.0006287991739789545,0.0019387974531017763,1.0,1.0,1.0,0.7916666666666666,0.6755598539372882,0.907773479396045,0.9791666666666666,0.9383333333333332,1.02,0.8125,0.700911493957258,0.924088506042742,0.6341916558709723,0.571057550358276,0.6973257613836685,1.0,1.0,1.0,1.2903071779750606,1.2723179585897666,1.3082963973603545,0.910588764530293,0.9055730862086455,0.9156044428519405,0.910588764530293,0.9055730862086455,0.9156044428519405,-0.3738753273037027,-0.4283480372038843,-0.3194026174035211,0.8691905089839317,0.8670935585978788,0.04139825554636145,0.043495205932414294,1.0,1.0
X_target_identity_sweep,target_identity_sweep,1,combined_repair,64,48,1.206448165339599,1.1996698734797633,1.213226457199435,0.7959516080359818,0.7819097782141006,0.8099934378578629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16296312677345084,0.15302512751073077,0.17290112603617092,0.0,0.0,0.0,0.41049655730361717,0.3912888167443902,0.42970429786284414,0.1238125316250263,0.1104412676267042,0.1371837956233484,0.1238125316250263,0.1104412676267042,0.1371837956233484,-0.37427185052695644,-0.4238412946503234,-0.3247024064035895,0.7959516080359818,0.7975938837592791,0.12381253162502648,0.12217025590172914,1.0,1.0
X_target_identity_sweep,target_identity_sweep,1,observable_repair,64,48,1.1952207647441448,1.1898578885657576,1.2005836409225321,0.7975938837592791,0.7834903027149022,0.811697464803656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16193435054024222,0.1517371964175626,0.17213150466292185,0.0,0.0,0.0,0.3976268809848657,0.379522249634586,0.41573151233514544,0.12217025590172896,0.10853749662885931,0.1358030151745986,0.12217025590172896,0.10853749662885931,0.1358030151745986,-0.37427185052695644,-0.4238412946503234,-0.3247024064035895,0.7959516080359818,0.7975938837592791,0.12381253162502648,0.12217025590172914,1.0,1.0
X_target_identity_sweep,target_identity_sweep,1,oracle,64,48,0.9197641396610082,0.9162514650846072,0.9232768142374093,0.9197641396610082,0.9162514650846072,0.9232768142374093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17926097030301666,0.1697177949329755,0.1888041456730578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37427185052695644,-0.4238412946503234,-0.3247024064035895,0.7959516080359818,0.7975938837592791,0.12381253162502648,0.12217025590172914,1.0,1.0
X_target_identity_sweep,target_identity_sweep,1,random,64,48,0.7211170745520769,0.6574748808434583,0.7847592682606954,0.44567463415754277,0.3456314194135663,0.5457178489015193,0.4375,0.2956734840084624,0.5793265159915376,0.3333333333333333,0.19856095715551764,0.468105709511149,0.20833333333333334,0.09222652060395496,0.3244401460627117,0.25,0.12620366760322171,0.3737963323967783,0.31677605423901106,0.24738932219465998,0.38616278628336215,0.4375,0.2956734840084624,0.5793265159915376,0.275442440394534,0.11829027509563886,0.4325946056934292,0.4740895055034653,0.3731263867947737,0.5750526242121569,0.4740895055034653,0.3731263867947737,0.5750526242121569,-0.37427185052695644,-0.4238412946503234,-0.3247024064035895,0.7959516080359818,0.7975938837592791,0.12381253162502648,0.12217025590172914,1.0,1.0
X_target_identity_sweep,target_identity_sweep,1,raw,64,48,1.3080842772363652,1.2935702427063094,1.322598311766421,0.0,0.0,0.0,1.0,1.0,1.0,0.7708333333333334,0.6506724507348114,0.8909942159318553,0.9375,0.868295746348911,1.0067042536510888,0.875,0.7804489893389749,0.9695510106610251,0.6644020091809197,0.6096729108277013,0.7191311075341382,1.0,1.0,1.0,1.3080842772363652,1.2935702427063094,1.322598311766421,0.9197641396610082,0.9162514650846072,0.9232768142374093,0.9197641396610082,0.9162514650846072,0.9232768142374093,-0.37427185052695644,-0.4238412946503234,-0.3247024064035895,0.7959516080359818,0.7975938837592791,0.12381253162502648,0.12217025590172914,1.0,1.0
