experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high,combined_vs_raw_gain_mean,combined_vs_raw_gain_ci_low,combined_vs_raw_gain_ci_high,combined_vs_raw_win_rate,combined_vs_raw_sign_test_p,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
F_high_n_stress,hidden_property,combined_repair,64,32,1.3429354461804812,1.3378185617015537,1.3480523306594088,0.8816979576703811,0.8685811463346488,0.8948147690061133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13624158703945208,0.12167746735650158,0.1508057067224026,0.0,0.0,0.0,0.46123748851010016,0.44928475084166775,0.47319022617853257,0.037973843055947386,0.026184015361038492,0.049763670750856276,0.037973843055947386,0.026184015361038492,0.049763670750856276,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,identity_consistent,64,32,1.0399276520422522,1.026920705039783,1.0529345990447214,0.7366728286771859,0.706196835388681,0.7671488219656907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7295505740356393,0.7125479564924069,0.7465531915788717,0.0,0.0,0.0,0.3032548233650665,0.26716272865731416,0.3393469180728188,0.18299897204914253,0.1528166911609469,0.21318125293733817,0.18299897204914253,0.1528166911609469,0.21318125293733817,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,observable_repair,64,32,1.2238024216763064,1.2195055219001307,1.228099321452482,0.8807492448689263,0.8669693716543261,0.8945291180835264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13475378338229344,0.12008666312510309,0.14942090363948377,0.0,0.0,0.0,0.34305317680738023,0.33009020625114266,0.3560161473636178,0.03892255585740219,0.026461903766244375,0.05138320794856,0.03892255585740219,0.026461903766244375,0.05138320794856,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,hidden_property,oracle,64,32,0.9196718007263285,0.9149591869516466,0.9243844145010104,0.9196718007263285,0.9149591869516466,0.9243844145010104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-0.022712022095930914,0.14771202209593093,0.21350490143741077,0.16446999361511694,0.2625398092597046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,hidden_property,random,64,32,0.5908740760341131,0.523589703085299,0.6581584489829273,0.6252957547334126,0.534537524949644,0.7160539845171812,0.125,0.008578213988684608,0.2414217860113154,0.09375,-0.008858862331829115,0.19635886233182911,0.125,0.008578213988684608,0.2414217860113154,0.34375,0.1765519392090385,0.5109480607909616,0.38296679033050485,0.2885489617048952,0.4773846189561145,0.0,0.0,0.0,-0.03442167869929953,-0.1746679944006762,0.10582463700207713,0.2943760459929158,0.20386759468902632,0.38488449729680524,0.2943760459929158,0.20386759468902632,0.38488449729680524,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,hidden_property,raw,64,32,1.0558859834279446,1.026054027063875,1.0857179397920143,0.14374004523063533,0.0824795631305962,0.20500052733067445,0.90625,0.8036411376681709,1.008858862331829,0.71875,0.5604756936569075,0.8770243063430925,0.3125,0.14933140027724737,0.47566859972275266,0.8125,0.6750997429217788,0.9499002570782212,0.6157668878941027,0.5368264403016467,0.6947073354865587,0.0,0.0,0.0,0.9121459381973094,0.8275400571067829,0.9967518192878358,0.775931755495693,0.7133582628515797,0.8385052481398064,0.775931755495693,0.7133582628515797,0.8385052481398064,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,hidden_property,targeted_probe,64,32,1.0712815220695902,1.0578226048131396,1.0847404393260407,0.722682052296717,0.6254831578830187,0.8198809467104153,0.28125,0.1229756936569075,0.4395243063430925,0.21875,0.07322276748585574,0.36427723251414423,0.0,0.0,0.0,0.0,0.0,0.0,0.14899609618842818,0.13581030407246072,0.16218188830439564,0.0,0.0,0.0,0.34859946977287326,0.24922670832035665,0.44797223122538987,0.19698974842961145,0.1008247246870033,0.2931547721722196,0.19698974842961145,0.1008247246870033,0.2931547721722196,-0.5758798264246602,-0.6318421893462066,-0.5199174635031137,0.7379579124397456,0.6731248776004257,0.8027909472790655,1.0,4.656612873077393e-10,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,merge_split,combined_repair,64,32,1.2137942594219737,1.2082635345949753,1.2193249842489722,0.8252742847310228,0.8145629763871889,0.8359855930748568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15422611704794556,0.1408428041793851,0.16760942991650601,0.0,0.0,0.0,0.3885199746909508,0.3732290958380293,0.40381085354387225,0.1000764769275185,0.08938488279475777,0.11076807106027924,0.1000764769275185,0.08938488279475777,0.11076807106027924,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,oracle_upper_bound,False,True,fixed_predeclared,-1,0
F_high_n_stress,merge_split,identity_consistent,64,32,0.9777818703744265,0.9579068434505363,0.9976568972983167,0.6738359270432306,0.6422062492493974,0.7054656048370638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.7585782139886846,0.9914217860113154,0.658007011521496,0.5944496869872055,0.7215643360557865,0.0,0.0,0.0,0.30394594333119596,0.26219752837098215,0.34569435829140976,0.25151483461531077,0.21913414837298234,0.2838955208576392,0.25151483461531077,0.21913414837298234,0.2838955208576392,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,deployable_no_leak,False,False,fixed_predeclared,-1,0
F_high_n_stress,merge_split,observable_repair,64,32,1.201988132632939,1.197128514213706,1.2068477510521718,0.8241817813644841,0.8144468524510898,0.8339167102778783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.146405638684445,0.1319699868780746,0.16084129049081541,0.0,0.0,0.0,0.37780635126845485,0.36531286100962435,0.39029984152728536,0.10116898029405733,0.0904249548417663,0.11191300574634835,0.10116898029405733,0.0904249548417663,0.11191300574634835,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,support_covered,False,True,fixed_predeclared,-1,0
F_high_n_stress,merge_split,oracle,64,32,0.9253507616585414,0.9220777095321157,0.9286238137849671,0.9253507616585414,0.9220777095321157,0.9286238137849671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17832690058293485,0.16437759895003,0.1922762022158397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,oracle_upper_bound,True,True,eval_oracle,-1,0
F_high_n_stress,merge_split,random,64,32,0.6527548891125461,0.5708184640427768,0.7346913141823154,0.6037161230741017,0.4921246421355447,0.7153076040126587,0.1875,0.05009974292177877,0.32490025707822123,0.1875,0.05009974292177877,0.32490025707822123,0.375,0.20457595580813817,0.5454240441918619,0.0625,-0.022712022095930914,0.14771202209593093,0.21078919211351885,0.16424131024173444,0.25733707398530326,0.0,0.0,0.0,0.04903876603844435,-0.13395419292408828,0.23203172500097696,0.32163463858443964,0.21094916522726123,0.432320111941618,0.32163463858443964,0.21094916522726123,0.432320111941618,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,merge_split,raw,64,32,1.1833548438143393,1.1543308065949822,1.2123788810336964,0.004442644669344965,-0.004264938882571166,0.013150228221261096,1.0,1.0,1.0,0.65625,0.4890519392090385,0.8234480607909616,0.96875,0.9075,1.03,0.3125,0.14933140027724737,0.47566859972275266,0.3531504415102433,0.26422906212853103,0.4420718208919555,0.0,0.0,0.0,1.1789121991449942,1.145606241676269,1.2122181566137196,0.9209081169891964,0.9119370784401273,0.9298791555382655,0.9209081169891964,0.9119370784401273,0.9298791555382655,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,deployable_no_leak,False,False,none,-1,0
F_high_n_stress,merge_split,targeted_probe,64,32,0.7581451239568118,0.7454097551867933,0.7708804927268302,0.628669844709255,0.5298369849756664,0.7275027044428436,0.28125,0.1229756936569075,0.4395243063430925,0.25,0.09756810087462753,0.40243189912537247,0.03125,-0.03,0.0925,0.0,0.0,0.0,0.15129400139485263,0.14022826260663426,0.162359740183071,0.0,0.0,0.0,0.12947527924755675,0.023703599433159736,0.23524695906195375,0.29668091694928633,0.19625800205053828,0.3971038318480344,0.29668091694928633,0.19625800205053828,0.3971038318480344,-0.6192018705597837,-0.6630649207788004,-0.575338820340767,0.820831640061678,0.8066132996527169,0.835049980470639,1.0,4.656612873077393e-10,support_covered,False,True,fixed_predeclared,-1,0
