experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high,combined_vs_raw_gain_mean,combined_vs_raw_gain_ci_low,combined_vs_raw_gain_ci_high,combined_vs_raw_win_rate,combined_vs_raw_sign_test_p,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
K_ood_object_count,dense6_good,combined_repair,64,16,1.2164536292598673,1.2083671323889948,1.2245401261307398,0.8249227699497732,0.8104799581904417,0.8393655817091047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15365288149055123,0.14272817677808858,0.16457758620301388,0.0,0.0,0.0,0.39153085931009407,0.37079714540937136,0.4122645732108168,0.10607982973072672,0.09094546431835906,0.12121419514309437,0.10607982973072672,0.09094546431835906,0.12121419514309437,-0.1681010888144891,-0.3395053976142314,0.003303219985253153,0.06992906100531254,-0.0030542634287550607,0.14291238543938015,0.6875,0.0224609375,oracle_upper_bound,False,True,fixed_predeclared,-1,0
K_ood_object_count,dense6_good,observable_repair,64,16,1.2059834191118994,1.2009318714262003,1.2110349667975986,0.8278536111932718,0.8124668312521923,0.8432403911343513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15061956823667427,0.13714495441517272,0.16409418205817583,0.0,0.0,0.0,0.3781298079186275,0.35985033873431027,0.3964092771029447,0.10314898848722809,0.08740129574472297,0.11889668122973321,0.10314898848722809,0.08740129574472297,0.11889668122973321,-0.1681010888144891,-0.3395053976142314,0.003303219985253153,0.06992906100531254,-0.0030542634287550607,0.14291238543938015,0.6875,0.0224609375,support_covered,False,True,fixed_predeclared,-1,0
K_ood_object_count,dense6_good,oracle,64,16,0.9310025996805,0.928840628965708,0.9331645703952921,0.9310025996805,0.928840628965708,0.9331645703952921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18253535646282323,0.16765618137922514,0.19741453154642133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1681010888144891,-0.3395053976142314,0.003303219985253153,0.06992906100531254,-0.0030542634287550607,0.14291238543938015,0.6875,0.0224609375,oracle_upper_bound,True,True,eval_oracle,-1,0
K_ood_object_count,dense6_good,random,64,16,0.489097274150053,0.4397732799073486,0.5384212683927574,0.8215620051549378,0.7619063808730162,0.8812176294368594,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-0.06,0.185,0.0625,-0.06,0.185,0.1995618109476999,0.12207651279183288,0.2770471091035669,0.0,0.0,0.0,-0.33246473100488483,-0.4060355729363218,-0.25889388907344785,0.10944059452556222,0.049675658529547854,0.16920553052157658,0.10944059452556222,0.049675658529547854,0.16920553052157658,-0.1681010888144891,-0.3395053976142314,0.003303219985253153,0.06992906100531254,-0.0030542634287550607,0.14291238543938015,0.6875,0.0224609375,deployable_no_leak,False,False,none,-1,0
K_ood_object_count,dense6_good,raw,64,16,0.7642559838272798,0.7506034949254371,0.7779084727291224,0.7549937089444607,0.682824025374342,0.8271633925145795,0.0625,-0.06,0.185,0.0625,-0.06,0.185,0.0,0.0,0.0,0.0625,-0.06,0.185,0.2093070706801733,0.14021839666371771,0.27839574469662887,0.0,0.0,0.0,0.009262274882819166,-0.06402179438530474,0.08254634415094307,0.17600889073603926,0.10301129148532283,0.24900648998675567,0.17600889073603926,0.10301129148532283,0.24900648998675567,-0.1681010888144891,-0.3395053976142314,0.003303219985253153,0.06992906100531254,-0.0030542634287550607,0.14291238543938015,0.6875,0.0224609375,deployable_no_leak,False,False,none,-1,0
K_ood_object_count,dense6_raw,combined_repair,64,16,1.3266837201846253,1.3157251266294587,1.337642313739792,0.8789927524416803,0.8602558016074564,0.8977297032759042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1647639792624004,0.14547956458037356,0.18404839394442726,0.0,0.0,0.0,0.4476909677429451,0.4321769644912285,0.4632049709946617,0.03172570896169077,0.014000818591172155,0.04945059933220938,0.03172570896169077,0.014000818591172155,0.04945059933220938,-0.43472627765611194,-0.4866515744599819,-0.38280098085224196,0.8789927524416803,0.8602558016074564,0.8977297032759042,1.0,3.0517578125e-05,oracle_upper_bound,False,True,fixed_predeclared,-1,0
K_ood_object_count,dense6_raw,observable_repair,64,16,1.209415704295851,1.2004601757901692,1.218371232801533,0.8789978591586087,0.8598856765454881,0.8981100417717294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15914745881102288,0.14071874134940485,0.1775761762726409,0.0,0.0,0.0,0.3304178451372425,0.31414209567128193,0.34669359460320304,0.03172060224476234,0.013201997754021907,0.05023920673550278,0.03172060224476234,0.013201997754021907,0.05023920673550278,-0.43472627765611194,-0.4866515744599819,-0.38280098085224196,0.8789927524416803,0.8602558016074564,0.8977297032759042,1.0,3.0517578125e-05,support_covered,False,True,fixed_predeclared,-1,0
K_ood_object_count,dense6_raw,oracle,64,16,0.910718461403371,0.9018092465559897,0.9196276762507523,0.910718461403371,0.9018092465559897,0.9196276762507523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1928832040231443,0.17450057130577246,0.21126583674051613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.43472627765611194,-0.4866515744599819,-0.38280098085224196,0.8789927524416803,0.8602558016074564,0.8977297032759042,1.0,3.0517578125e-05,oracle_upper_bound,True,True,eval_oracle,-1,0
K_ood_object_count,dense6_raw,random,64,16,0.7128058327473787,0.5900288024750844,0.8355828630196731,0.41855622632733336,0.25113443285573733,0.5859780197989294,0.4375,0.18644970623398982,0.6885502937660102,0.4375,0.18644970623398982,0.6885502937660102,0.0625,-0.06,0.185,0.5625,0.3114497062339898,0.8135502937660102,0.4877323928338101,0.34943001162547416,0.626034774042146,0.4375,0.18644970623398982,0.6885502937660102,0.2942496064200453,0.0359575892943374,0.5525416235457532,0.49216223507603757,0.32632481119332823,0.6579996589587469,0.49216223507603757,0.32632481119332823,0.6579996589587469,-0.43472627765611194,-0.4866515744599819,-0.38280098085224196,0.8789927524416803,0.8602558016074564,0.8977297032759042,1.0,3.0517578125e-05,deployable_no_leak,False,False,none,-1,0
K_ood_object_count,dense6_raw,raw,64,16,1.3137894245860893,1.2924316006867838,1.3351472484853948,0.0,0.0,0.0,1.0,1.0,1.0,0.75,0.5308653382050206,0.9691346617949794,1.0,1.0,1.0,0.875,0.7076331374893265,1.0423668625106735,0.6616460903409427,0.5656701101267447,0.7576220705551406,1.0,1.0,1.0,1.3137894245860893,1.2924316006867838,1.3351472484853948,0.910718461403371,0.9018092465559897,0.9196276762507523,0.910718461403371,0.9018092465559897,0.9196276762507523,-0.43472627765611194,-0.4866515744599819,-0.38280098085224196,0.8789927524416803,0.8602558016074564,0.8977297032759042,1.0,3.0517578125e-05,deployable_no_leak,False,False,none,-1,0
K_ood_object_count,dense8_hidden,combined_repair,64,16,1.3383041186330578,1.3259701822765155,1.3506380549896,0.8872381317374858,0.8764248685637663,0.8980513949112052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14993748368800872,0.12776136916166023,0.1721135982143572,0.0,0.0,0.0,0.4510659868955721,0.4350763087352142,0.46705566505593,0.03005850642013183,0.018190788207527626,0.041926224632736035,0.03005850642013183,0.018190788207527626,0.041926224632736035,-0.5612821150280203,-0.6696077771441917,-0.4529564529118488,0.8001963380081903,0.747860085135894,0.8525325908804867,1.0,3.0517578125e-05,oracle_upper_bound,False,True,fixed_predeclared,-1,0
