experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high
A_controlled_object_binding,good,combined_repair,1,16,1.0965202628132396,1.0406583234153075,1.1523822022111716,0.8742524446274469,0.8595972337022443,0.8889076555526495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665083896747092,0.14572202693915765,0.18729475241026078,0.0,0.0,0.0,0.22226781818579264,0.16519576675228279,0.27933986961930246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_controlled_object_binding,good,combined_repair,2,16,1.161644399078316,1.145335393976508,1.177953404180124,0.8565791129995546,0.8370875291807406,0.8760706968183686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15659387945618697,0.13857876041645498,0.17460899849591896,0.0,0.0,0.0,0.30506528607876154,0.28055277117402977,0.3295778009834933,0.021608531063403734,0.00632470371283092,0.03689235841397655,0.021608531063403734,0.00632470371283092,0.03689235841397655,0.0,0.0,0.0
A_controlled_object_binding,good,combined_repair,4,16,1.1736845653707917,1.1559319139855495,1.1914372167560339,0.8674341430453318,0.8505984364668381,0.8842698496238256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1484390762837417,0.12685379657256948,0.17002435599491392,0.0,0.0,0.0,0.30625042232545985,0.2749020445167076,0.3375988001342121,0.03124248697464383,0.014722838788561697,0.047762135160725964,0.03124248697464383,0.014722838788561697,0.047762135160725964,0.0,0.0,0.0
A_controlled_object_binding,good,combined_repair,8,16,1.1851842792256422,1.1753067561786408,1.1950618022726436,0.8336359521193324,0.8151770028550783,0.8520949013835865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1972490053685947,0.1797118336995962,0.21478617703759317,0.0,0.0,0.0,0.35154832710630957,0.3260131711259476,0.37708348308667156,0.07260679640715367,0.05422430902019221,0.09098928379411514,0.07260679640715367,0.05422430902019221,0.09098928379411514,0.0,0.0,0.0
A_controlled_object_binding,good,combined_repair,16,16,1.2014329774808856,1.1888266424483662,1.214039312513405,0.8392323978026413,0.8243164404526112,0.8541483551526713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1705871122270965,0.15059197532548474,0.19058224912870825,0.0,0.0,0.0,0.3622005796782443,0.3373555801880061,0.38704557916848253,0.07961274781447342,0.06335088106775355,0.09587461456119328,0.07961274781447342,0.06335088106775355,0.09587461456119328,-0.22643526370772704,-0.5248047777928355,0.07193425037738144
A_controlled_object_binding,good,combined_repair,32,16,1.2147147839885029,1.2070672394703232,1.2223623285066825,0.8199824986884683,0.7993680724921143,0.8405969248848223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1560661743294212,0.13797291241000753,0.17415943624883484,0.0,0.0,0.0,0.3947322853000348,0.36909167119601766,0.4203728994040519,0.10459376052385644,0.08384128728857082,0.12534623375914206,0.10459376052385644,0.08384128728857082,0.12534623375914206,-0.19330198095607293,-0.3596979175579764,-0.026906044354169434
A_controlled_object_binding,good,combined_repair,64,16,1.2313257757737102,1.2228338711061097,1.2398176804413106,0.7978763876102517,0.7842818113176407,0.8114709639028627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14170324110223406,0.11817883968688511,0.165227642517583,0.0,0.0,0.0,0.4334493881634583,0.4185453932969191,0.4483533830299975,0.13177084362185967,0.11872145917997302,0.1448202280637463,0.13177084362185967,0.11872145917997302,0.1448202280637463,-0.1946849114503464,-0.3498838136520305,-0.0394860092486623
A_controlled_object_binding,good,identity_consistent,1,16,0.6920380685627832,0.6376515958351603,0.746424541290406,0.8742524446274469,0.8595972337022443,0.8889076555526495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665083896747092,0.14572202693915765,0.18729475241026078,0.0,0.0,0.0,-0.18221437606466384,-0.23613915282395595,-0.12828959930537173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A_controlled_object_binding,good,identity_consistent,2,16,0.7921511473070135,0.7496279418609069,0.8346743527531202,0.8418308234850693,0.822227373660114,0.8614342733100246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16924742806274368,0.15712022208621287,0.18137463403927448,0.0,0.0,0.0,-0.04967967617805577,-0.10135826012865065,0.0019989077725391033,0.03635682057788906,0.017516274839563802,0.055197366316214316,0.03635682057788906,0.017516274839563802,0.055197366316214316,0.0,0.0,0.0
A_controlled_object_binding,good,identity_consistent,4,16,0.7758941056784855,0.7221332742098775,0.8296549371470935,0.8479155515283795,0.8246491745759436,0.8711819284808154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16547614756857637,0.14068847903048962,0.19026381610666313,0.0,0.0,0.0,-0.07202144584989399,-0.14168208392363196,-0.0023608077761560348,0.05076107849159614,0.027833922339280996,0.07368823464391128,0.05076107849159614,0.027833922339280996,0.07368823464391128,0.0,0.0,0.0
A_controlled_object_binding,good,identity_consistent,8,16,0.8463127658675444,0.8165259926458257,0.8760995390892632,0.8300495103924657,0.8103701067390373,0.849728914045894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2024722104773461,0.1864621657302202,0.21848225522447198,0.0,0.0,0.0,0.016263255475078765,-0.02839068227351476,0.06091719322367229,0.07619323813402046,0.05581873212686439,0.09656774414117653,0.07619323813402046,0.05581873212686439,0.09656774414117653,0.0,0.0,0.0
A_controlled_object_binding,good,identity_consistent,16,16,0.8946220582376414,0.8682997288331156,0.9209443876421672,0.8097946175872712,0.7799556019760718,0.8396336331984706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0625,-0.06,0.185,0.2013625513175843,0.12653485766691563,0.27619024496825295,0.0,0.0,0.0,0.08482744065037023,0.04444460031686797,0.1252102809838725,0.10905052802984348,0.0789575826215984,0.13914347343808858,0.10905052802984348,0.0789575826215984,0.13914347343808858,-0.22643526370772704,-0.5248047777928355,0.07193425037738144
A_controlled_object_binding,good,identity_consistent,32,16,0.9306662753380293,0.9097617794087941,0.9515707712672644,0.7899748184846848,0.76846660022568,0.8114830367436895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1636133148505795,0.14581634797106344,0.18141028173009557,0.0,0.0,0.0,0.14069145685334444,0.10627504203795193,0.17510787166873695,0.13460144072763985,0.11191479165532946,0.15728808979995024,0.13460144072763985,0.11191479165532946,0.15728808979995024,-0.19330198095607293,-0.3596979175579764,-0.026906044354169434
A_controlled_object_binding,good,identity_consistent,64,16,0.9561501847136127,0.9372166251470543,0.9750837442801711,0.8003420892320929,0.7909412840518968,0.8097428944122891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17449177571459662,0.15230553989152903,0.1966780115376642,0.0,0.0,0.0,0.1558080954815198,0.1333242515564939,0.1782919394065457,0.12930514200001847,0.1191548128325389,0.13945547116749804,0.12930514200001847,0.1191548128325389,0.13945547116749804,-0.1946849114503464,-0.3498838136520305,-0.0394860092486623
