experiment,scenario,selector,N,n_seeds,selected_object_score_mean,selected_object_score_ci_low,selected_object_score_ci_high,selected_real_utility_mean,selected_real_utility_ci_low,selected_real_utility_ci_high,identity_error_mean,identity_error_ci_low,identity_error_ci_high,swap_rate_mean,swap_rate_ci_low,swap_rate_ci_high,merge_split_rate_mean,merge_split_rate_ci_low,merge_split_rate_ci_high,property_error_mean,property_error_ci_low,property_error_ci_high,property_entropy_mean,property_entropy_ci_low,property_entropy_ci_high,occlusion_error_mean,occlusion_error_ci_low,occlusion_error_ci_high,object_real_gap_mean,object_real_gap_ci_low,object_real_gap_ci_high,regret_mean,regret_ci_low,regret_ci_high,oracle_gap_mean,oracle_gap_ci_low,oracle_gap_ci_high,upper_tail_rank_correlation_mean,upper_tail_rank_correlation_ci_low,upper_tail_rank_correlation_ci_high,best_proxy_selector,best_proxy_utility_mean,combined_vs_best_proxy_gain_mean,combined_oracle_gap_mean
L_model_family_proxies,hidden_property,combined_repair,64,16,1.3533431047842028,1.3442461820898408,1.3624400274785649,0.8839221349689103,0.8724117613358974,0.8954325086019231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1332612598817669,0.11367141757248377,0.15285110219105003,0.0,0.0,0.0,0.4694209698152926,0.4571710301154868,0.48167090951509833,0.03693143866435575,0.02370961174827348,0.05015326558043802,0.03693143866435575,0.02370961174827348,0.05015326558043802,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,hidden_property,diffusion_score_proxy,64,16,1.2082495259078694,1.1653096203943443,1.2511894314213945,0.08541567858828515,0.047147490018668706,0.1236838671579016,0.9375,0.815,1.06,0.6875,0.45293035859969716,0.9220696414003029,0.25,0.03086533820502063,0.46913466179497937,0.9375,0.815,1.06,0.7045060460066863,0.6271778037896864,0.7818342882236863,0.0,0.0,0.0,1.1228338473195842,1.0611824002757348,1.1844852943634336,0.8354378950449808,0.7976688258574114,0.8732069642325502,0.8354378950449808,0.7976688258574114,0.8732069642325502,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,hidden_property,latent_global_proxy,64,16,1.048764276990695,1.0062753767405788,1.0912531772408114,0.09174894560540205,0.04566293776047719,0.1378349534503269,0.9375,0.815,1.06,0.625,0.38,0.87,0.3125,0.07793035859969716,0.5470696414003029,0.8125,0.6149746851666855,1.0100253148333145,0.6384358098318585,0.5249851353395394,0.7518864843241777,0.0,0.0,0.0,0.957015331385293,0.8852124504813503,1.0288182122892358,0.8291046280278639,0.7847977672008465,0.8734114888548813,0.8291046280278639,0.7847977672008465,0.8734114888548813,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,hidden_property,oracle,64,16,0.9208535736332659,0.9164424141127178,0.9252647331538141,0.9208535736332659,0.9164424141127178,0.9252647331538141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17516831891381823,0.1532923881986573,0.19704424962897918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,hidden_property,raw,64,16,1.0622458646064832,1.0219746829641543,1.102517046248812,0.0862174228408334,0.04797484774563684,0.12445999793602996,0.9375,0.815,1.06,0.6875,0.45293035859969716,0.9220696414003029,0.25,0.03086533820502063,0.46913466179497937,0.9375,0.815,1.06,0.7042525153425896,0.6269326532843627,0.7815723774008165,0.0,0.0,0.0,0.9760284417656497,0.9148218668811585,1.037235016650141,0.8346361507924326,0.7969584571429064,0.8723138444419588,0.8346361507924326,0.7969584571429064,0.8723138444419588,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,hidden_property,relational_slot_proxy,64,16,0.8703448051795221,0.8549142610778553,0.8857753492811888,0.5439256370926034,0.40585602401339244,0.6819952501718145,0.3125,0.07793035859969716,0.5470696414003029,0.3125,0.07793035859969716,0.5470696414003029,0.0,0.0,0.0,1.0,1.0,1.0,0.7166683531535898,0.6919642740912336,0.741372432215946,0.0,0.0,0.0,0.32641916808691857,0.1876641232585409,0.46517421291529626,0.3769279365406625,0.23926082884378597,0.514595044237539,0.3769279365406625,0.23926082884378597,0.514595044237539,-0.5927314440273778,-0.6853507723746896,-0.500112115680066,relational_slot_proxy,0.5439256370926034,0.3399964978763068,0.036931438664355665
L_model_family_proxies,merge_split,combined_repair,64,16,1.2119469418764568,1.2056861791899842,1.2182077045629294,0.8313464950632733,0.8185114285796039,0.8441815615469427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15355931053821878,0.13788661192230003,0.16923200915413752,0.0,0.0,0.0,0.38060044681318345,0.36361745258361794,0.39758344104274895,0.09057054733499612,0.07730313821662078,0.10383795645337145,0.09057054733499612,0.07730313821662078,0.10383795645337145,-0.6090060804255837,-0.6789454195422291,-0.5390667413089383,relational_slot_proxy,0.4092949246098653,0.422051570453408,0.09057054733499614
L_model_family_proxies,merge_split,diffusion_score_proxy,64,16,1.2814359564746054,1.2299699672790776,1.3329019456701332,0.0,0.0,0.0,1.0,1.0,1.0,0.6875,0.45293035859969716,0.9220696414003029,1.0,1.0,1.0,0.375,0.13,0.62,0.38617469555478745,0.250541278728541,0.5218081123810339,0.0,0.0,0.0,1.2814359564746054,1.2299699672790776,1.3329019456701332,0.9219170423982694,0.9172594596850667,0.9265746251114721,0.9219170423982694,0.9172594596850667,0.9265746251114721,-0.6090060804255837,-0.6789454195422291,-0.5390667413089383,relational_slot_proxy,0.4092949246098653,0.422051570453408,0.09057054733499614
L_model_family_proxies,merge_split,latent_global_proxy,64,16,1.176085445215619,1.1357178883138137,1.2164530021174245,0.0,0.0,0.0,1.0,1.0,1.0,0.6875,0.45293035859969716,0.9220696414003029,1.0,1.0,1.0,0.1875,-0.01002531483331448,0.3850253148333145,0.2822488345281631,0.1776388092631907,0.38685885979313545,0.0,0.0,0.0,1.176085445215619,1.1357178883138137,1.2164530021174245,0.9219170423982694,0.9172594596850667,0.9265746251114721,0.9219170423982694,0.9172594596850667,0.9265746251114721,-0.6090060804255837,-0.6789454195422291,-0.5390667413089383,relational_slot_proxy,0.4092949246098653,0.422051570453408,0.09057054733499614
L_model_family_proxies,merge_split,oracle,64,16,0.9219170423982694,0.9172594596850667,0.9265746251114721,0.9219170423982694,0.9172594596850667,0.9265746251114721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19020775332749987,0.17013374726045846,0.21028175939454127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6090060804255837,-0.6789454195422291,-0.5390667413089383,relational_slot_proxy,0.4092949246098653,0.422051570453408,0.09057054733499614
