score_bin,count,mean_raw_object_score,mean_real_utility,object_real_gap,identity_error_rate,merge_split_rate,property_error_rate
0,256,0.37051617155007366,0.7513571528671983,-0.3808409813171246,0.0,0.00390625,0.078125
1,256,0.5252211589940303,0.6896443769962478,-0.16442321800221749,0.08203125,0.0390625,0.22265625
2,256,0.653904758238889,0.5573786935831591,0.09652606465572999,0.24609375,0.0859375,0.3515625
3,256,0.7858295028675384,0.27333996203499794,0.5124895408325405,0.61328125,0.17578125,0.30078125
4,256,0.9254703615126669,0.15489799519032282,0.770572366322344,0.79296875,0.24609375,0.40625
5,256,1.1353416352922059,0.039874175528204034,1.095467459764002,0.94140625,0.578125,0.65625
