property_accuracy,random_property_accuracy,identity_alignment_accuracy,random_identity_alignment_accuracy,transition_mse,constant_transition_mse,reward_correlation,n_train_slots,n_test_slots,variant,property_margin,identity_margin,transition_mse_ratio,n_objects_spec,occlusion_mode,crossing_mode,action_scale
0.9916666666666667,0.75,0.9895833333333334,0.5,0.0003108014087508887,0.04165606019723172,0.9461998797994873,1040,480,standard_test,0.2416666666666667,0.48958333333333337,0.007461133080740631,4,periodic,periodic,0.08
0.9916666666666667,0.8333333333333334,0.9631944444444445,0.5,0.0002811991748330102,0.04568367367162761,0.9426027421334473,1040,720,dense6_test,0.15833333333333333,0.46319444444444446,0.0061553538109535245,6,periodic,periodic,0.08
1.0,0.875,0.9458333333333333,0.5,0.00028640861211493273,0.051609813033647485,0.9157332333864965,1040,960,dense8_occluded_crossing,0.125,0.4458333333333333,0.005549499121963609,8,always,always,0.09
0.9928741092636579,0.8574821852731591,0.9581839904420549,0.5,0.00032369938246590323,0.04965282637737212,0.9304096068522512,1040,842,random_count_mixed,0.13539192399049882,0.45818399044205493,0.006519253909248158,"(5, 9)",random,random,0.1
