experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,original_target_id,target_id,n_objects,generator_scenario
X_target_identity_sweep,target_identity_sweep,raw,64,0,0,1.295108789145899,0.0,1.0,1.0,1.0,0.0,0.22316663657493424,1.0,1.295108789145899,0.708310529139517,0.4192873109906271,0.9177229428210988,0.9177229428210988,0.9177229428210988,-0.39491398565979635,0,0,6,raw
X_target_identity_sweep,target_identity_sweep,observable_repair,64,0,30,1.2395871756803025,0.9123556469994696,0.0,0.0,0.0,0.0,0.17188787842195663,0.0,0.32723152868083294,0.708310529139517,0.4192873109906271,0.9177229428210988,0.005367295821629203,0.005367295821629203,-0.39491398565979635,0,0,6,raw
X_target_identity_sweep,target_identity_sweep,combined_repair,64,0,30,1.3660002841073131,0.9123556469994696,0.0,0.0,0.0,0.0,0.17188787842195663,0.0,0.45364463710784353,0.708310529139517,0.4192873109906271,0.9177229428210988,0.005367295821629203,0.005367295821629203,-0.39491398565979635,0,0,6,raw
X_target_identity_sweep,target_identity_sweep,random,64,0,32,1.262172775141725,0.05214054233115456,1.0,0.0,0.0,1.0,0.7198221125602965,1.0,1.2100322328105706,0.708310529139517,0.4192873109906271,0.9177229428210988,0.8655824004899442,0.8655824004899442,-0.39491398565979635,0,0,6,raw
X_target_identity_sweep,target_identity_sweep,oracle,64,0,41,0.9177229428210988,0.9177229428210988,0.0,0.0,0.0,0.0,0.17787905593403225,0.0,0.0,0.708310529139517,0.4192873109906271,0.9177229428210988,0.0,0.0,-0.39491398565979635,0,0,6,raw
X_target_identity_sweep,target_identity_sweep,raw,64,0,48,1.3266303203279892,0.0,1.0,0.0,1.0,1.0,0.7735810580906277,1.0,1.3266303203279892,0.7132542852563148,0.4169060816852369,0.9301972344579286,0.9301972344579286,0.9301972344579286,-0.3211819429226415,0,1,6,raw
X_target_identity_sweep,target_identity_sweep,observable_repair,64,0,34,1.1899764447974586,0.7723378914198795,0.0,0.0,0.0,0.0,0.15263372702084207,0.0,0.41763855337757905,0.7132542852563148,0.4169060816852369,0.9301972344579286,0.15785934303804905,0.15785934303804905,-0.3211819429226415,0,1,6,raw
X_target_identity_sweep,target_identity_sweep,combined_repair,64,0,34,1.2009201859788075,0.7723378914198795,0.0,0.0,0.0,0.0,0.15263372702084207,0.0,0.42858229455892793,0.7132542852563148,0.4169060816852369,0.9301972344579286,0.15785934303804905,0.15785934303804905,-0.3211819429226415,0,1,6,raw
X_target_identity_sweep,target_identity_sweep,random,64,0,3,0.82835392279446,0.08144686196779025,1.0,0.0,0.0,0.0,0.16000400687636684,1.0,0.7469070608266697,0.7132542852563148,0.4169060816852369,0.9301972344579286,0.8487503724901383,0.8487503724901383,-0.3211819429226415,0,1,6,raw
X_target_identity_sweep,target_identity_sweep,oracle,64,0,56,0.9301972344579286,0.9301972344579286,0.0,0.0,0.0,0.0,0.21892910801047194,0.0,0.0,0.7132542852563148,0.4169060816852369,0.9301972344579286,0.0,0.0,-0.3211819429226415,0,1,6,raw
