experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test,n_objects,occlusion_flag,hidden_property_flag,crossing_flag
U_extreme_object_count,extreme10_good,raw,64,0,60,0.8365458084602139,0.1915155280366045,1.0,0.0,0.0,0.0,0.0647680500986253,0.0,0.6450302804236094,0.4882132203716042,0.8122379328241022,0.9340219420746745,0.7425064140380699,0.7425064140380699,-0.5681718221744662,deployable_no_leak,False,False,none,-1,0,10,0,0,0
U_extreme_object_count,extreme10_good,observable_repair,64,0,56,1.1963040111506782,0.841771786468361,0.0,0.0,0.0,0.0,0.17219651516565415,0.0,0.35453222468231715,0.4882132203716042,0.8122379328241022,0.9340219420746745,0.09225015560631344,0.09225015560631344,-0.5681718221744662,support_covered,False,True,fixed_predeclared,-1,0,10,0,0,0
U_extreme_object_count,extreme10_good,combined_repair,64,0,56,1.2116328751570908,0.841771786468361,0.0,0.0,0.0,0.0,0.17219651516565415,0.0,0.3698610886887298,0.4882132203716042,0.8122379328241022,0.9340219420746745,0.09225015560631344,0.09225015560631344,-0.5681718221744662,oracle_upper_bound,False,True,fixed_predeclared,-1,0,10,0,0,0
U_extreme_object_count,extreme10_good,random,64,0,12,0.2981978236052585,0.8343695891543101,0.0,0.0,0.0,0.0,0.15540092258670526,0.0,-0.5361717655490517,0.4882132203716042,0.8122379328241022,0.9340219420746745,0.09965235292036434,0.09965235292036434,-0.5681718221744662,deployable_no_leak,False,False,none,-1,0,10,0,0,0
U_extreme_object_count,extreme10_good,oracle,64,0,51,0.9340219420746745,0.9340219420746745,0.0,0.0,0.0,0.0,0.1455077985233854,0.0,0.0,0.4882132203716042,0.8122379328241022,0.9340219420746745,0.0,0.0,-0.5681718221744662,oracle_upper_bound,True,True,eval_oracle,-1,0,10,0,0,0
U_extreme_object_count,extreme10_raw,raw,64,0,48,1.3190702650204549,0.0,1.0,1.0,1.0,1.0,0.7263158679577147,1.0,1.3190702650204549,0.717559261273887,0.4384516105415053,0.9243666710483024,0.9243666710483024,0.9243666710483024,-0.7024584872442443,deployable_no_leak,False,False,none,-1,0,10,1,1,1
U_extreme_object_count,extreme10_raw,observable_repair,64,0,3,1.2182031730796092,0.8759364002551745,0.0,0.0,0.0,0.0,0.18676202575481546,0.0,0.34226677282443474,0.717559261273887,0.4384516105415053,0.9243666710483024,0.048430270793127894,0.048430270793127894,-0.7024584872442443,support_covered,False,True,fixed_predeclared,-1,0,10,1,1,1
U_extreme_object_count,extreme10_raw,combined_repair,64,0,3,1.3403231222870957,0.8759364002551745,0.0,0.0,0.0,0.0,0.18676202575481546,0.0,0.4643867220319212,0.717559261273887,0.4384516105415053,0.9243666710483024,0.048430270793127894,0.048430270793127894,-0.7024584872442443,oracle_upper_bound,False,True,fixed_predeclared,-1,0,10,1,1,1
U_extreme_object_count,extreme10_raw,random,64,0,12,0.6496600444016948,0.0,0.0,0.0,1.0,0.0,0.22915572669127815,0.0,0.6496600444016948,0.717559261273887,0.4384516105415053,0.9243666710483024,0.9243666710483024,0.9243666710483024,-0.7024584872442443,deployable_no_leak,False,False,none,-1,0,10,1,1,1
U_extreme_object_count,extreme10_raw,oracle,64,0,47,0.9243666710483024,0.9243666710483024,0.0,0.0,0.0,0.0,0.13922792911949217,0.0,0.0,0.717559261273887,0.4384516105415053,0.9243666710483024,0.0,0.0,-0.7024584872442443,oracle_upper_bound,True,True,eval_oracle,-1,0,10,1,1,1
U_extreme_object_count,extreme12_occlusion,raw,64,0,57,1.2180935620988116,0.0,1.0,1.0,1.0,0.0,0.22432153887499048,1.0,1.2180935620988116,0.6801868964665649,0.4544307577787744,0.9172064599677392,0.9172064599677392,0.9172064599677392,-0.18071274792525044,deployable_no_leak,False,False,none,-1,0,12,1,1,1
U_extreme_object_count,extreme12_occlusion,observable_repair,64,0,21,1.2000034619188875,0.9082242909800445,0.0,0.0,0.0,0.0,0.1629147194711381,0.0,0.291779170938843,0.6801868964665649,0.4544307577787744,0.9172064599677392,0.008982168987694661,0.008982168987694661,-0.18071274792525044,support_covered,False,True,fixed_predeclared,-1,0,12,1,1,1
U_extreme_object_count,extreme12_occlusion,combined_repair,64,0,21,1.3146217663459714,0.9082242909800445,0.0,0.0,0.0,0.0,0.1629147194711381,0.0,0.40639747536592685,0.6801868964665649,0.4544307577787744,0.9172064599677392,0.008982168987694661,0.008982168987694661,-0.18071274792525044,oracle_upper_bound,False,True,fixed_predeclared,-1,0,12,1,1,1
U_extreme_object_count,extreme12_occlusion,random,64,0,36,0.8242688644831534,0.4968785009686488,0.0,0.0,1.0,0.0,0.19420365732218312,0.0,0.3273903635145046,0.6801868964665649,0.4544307577787744,0.9172064599677392,0.4203279589990904,0.4203279589990904,-0.18071274792525044,deployable_no_leak,False,False,none,-1,0,12,1,1,1
U_extreme_object_count,extreme12_occlusion,oracle,64,0,24,0.9172064599677392,0.9172064599677392,0.0,0.0,0.0,0.0,0.2818567486305418,0.0,0.0,0.6801868964665649,0.4544307577787744,0.9172064599677392,0.0,0.0,-0.18071274792525044,oracle_upper_bound,True,True,eval_oracle,-1,0,12,1,1,1
U_extreme_object_count,extreme12_hidden,raw,64,0,53,1.1262123567372924,0.0,1.0,0.0,1.0,0.0,0.16272071920342004,0.0,1.1262123567372924,0.6709537300005985,0.6152688324890774,0.9266527874688837,0.9266527874688837,0.9266527874688837,-0.5245084965854866,deployable_no_leak,False,False,none,-1,0,12,0,1,0
U_extreme_object_count,extreme12_hidden,observable_repair,64,0,21,1.212449279991971,0.8753703229470128,0.0,0.0,0.0,0.0,0.10052245774577068,0.0,0.33707895704495827,0.6709537300005985,0.6152688324890774,0.9266527874688837,0.05128246452187091,0.05128246452187091,-0.5245084965854866,support_covered,False,True,fixed_predeclared,-1,0,12,0,1,0
U_extreme_object_count,extreme12_hidden,combined_repair,64,0,21,1.3262305062956825,0.8753703229470128,0.0,0.0,0.0,0.0,0.10052245774577068,0.0,0.45086018334866973,0.6709537300005985,0.6152688324890774,0.9266527874688837,0.05128246452187091,0.05128246452187091,-0.5245084965854866,oracle_upper_bound,False,True,fixed_predeclared,-1,0,12,0,1,0
U_extreme_object_count,extreme12_hidden,random,64,0,36,0.6348839064609982,0.673918478700818,0.0,0.0,0.0,1.0,0.7591087331960567,0.0,-0.039034572239819765,0.6709537300005985,0.6152688324890774,0.9266527874688837,0.2527343087680657,0.2527343087680657,-0.5245084965854866,deployable_no_leak,False,False,none,-1,0,12,0,1,0
U_extreme_object_count,extreme12_hidden,oracle,64,0,12,0.9266527874688837,0.9266527874688837,0.0,0.0,0.0,0.0,0.14235251208112562,0.0,0.0,0.6709537300005985,0.6152688324890774,0.9266527874688837,0.0,0.0,-0.5245084965854866,oracle_upper_bound,True,True,eval_oracle,-1,0,12,0,1,0
U_extreme_object_count,extreme10_good,raw,64,1,7,0.7512735097864023,0.6409747517599542,0.0,0.0,0.0,1.0,0.7624630634056249,0.0,0.11029875802644806,0.5272242615805647,0.8163049193953398,0.9272894596605349,0.28631470790058067,0.28631470790058067,-0.2699269075988055,deployable_no_leak,False,False,none,-1,0,10,0,0,0
