property_accuracy,random_property_accuracy,identity_alignment_accuracy,random_identity_alignment_accuracy,transition_mse,constant_transition_mse,reward_correlation,n_train_slots,n_test_slots,train_scenes
0.9854166666666667,0.75,0.9864583333333333,0.5,0.000284358993726927,0.04070603234505697,0.9530322854588805,128,480,32
0.9958333333333333,0.75,0.9916666666666667,0.5,0.00029618134260768605,0.042923903806814726,0.9545901088814394,256,480,64
0.9916666666666667,0.75,0.9927083333333333,0.5,0.00028742751148984856,0.041278348760927945,0.9462884870963856,512,480,128
0.9895833333333334,0.75,0.9885416666666667,0.5,0.0002856271938645902,0.04236263718108635,0.9393862580123873,1040,480,260
