experiment,scenario,selector,N,seed,selected_candidate_id,selected_object_score,selected_real_utility,identity_error,swap_rate,merge_split_rate,property_error,property_entropy,occlusion_error,object_real_gap,candidate_mean_score,candidate_mean_real_utility,candidate_best_real_utility,regret,oracle_gap,upper_tail_rank_correlation,repair_tier,uses_real_utility_features,uses_hidden_features,hyperparameter_source,split_seed,final_test
A_controlled_object_binding,good,raw,1,0,0,0.3360188556601579,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,-0.521427848496596,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,identity_consistent,1,0,0,0.536266855660158,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,-0.32117984849659587,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,1,0,0,0.24696598176685317,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,-0.6104807223899007,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,targeted_probe,1,0,0,0.3951983825717333,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,-0.46224832158502055,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,combined_repair,1,0,0,1.1308971990107828,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,0.27345049485402895,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,oracle_upper_bound,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,observable_repair,1,0,0,1.135176952688846,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,0.27773024853209216,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,support_covered,False,True,fixed_predeclared,-1,0
A_controlled_object_binding,good,random,1,0,0,0.3360188556601579,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,-0.521427848496596,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,oracle,1,0,0,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,0.0,0.12567038420159585,0.0,0.0,0.3360188556601579,0.8574467041567538,0.8574467041567538,0.0,0.0,0.0,oracle_upper_bound,True,True,eval_oracle,-1,0
A_controlled_object_binding,good,raw,2,0,1,0.6251231714999427,0.8950121988883498,0.0,0.0,0.0,0.0,0.19627866192367288,0.0,-0.26988902738840714,0.5464406242129611,0.8965279899291329,0.8980437809699159,0.0030315820815660643,0.0030315820815660643,0.0,deployable_no_leak,False,False,none,-1,0
A_controlled_object_binding,good,identity_consistent,2,0,1,0.8253711714999428,0.8950121988883498,0.0,0.0,0.0,0.0,0.19627866192367288,0.0,-0.06964102738840705,0.5464406242129611,0.8965279899291329,0.8980437809699159,0.0030315820815660643,0.0030315820815660643,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,property_calibrated,2,0,1,0.5223996461035383,0.8950121988883498,0.0,0.0,0.0,0.0,0.19627866192367288,0.0,-0.37261255278481153,0.5464406242129611,0.8965279899291329,0.8980437809699159,0.0030315820815660643,0.0030315820815660643,0.0,deployable_no_leak,False,False,fixed_predeclared,-1,0
A_controlled_object_binding,good,targeted_probe,2,0,1,0.6514413470801502,0.8950121988883498,0.0,0.0,0.0,0.0,0.19627866192367288,0.0,-0.2435708518081996,0.5464406242129611,0.8965279899291329,0.8980437809699159,0.0030315820815660643,0.0030315820815660643,0.0,support_covered,False,True,fixed_predeclared,-1,0
