scenario,N,raw_selected_real_utility,best_single_repair_utility,combined_repair_utility,oracle_utility,combined_vs_raw_gain,combined_vs_best_single_gain,combined_oracle_gap,combined_win_rate_vs_raw,combined_sign_test_p
hidden_property,64,0.12441668576309804,0.8992068799533306,0.879048937903803,0.9205181520265172,0.754632252140705,-0.02015794204952759,0.041469214122714204,1.0,3.0517578125e-05
merge_split,64,0.022219449500168496,0.689977991546121,0.832852876459828,0.9250285052408347,0.8106334269596595,0.14287488491370692,0.09217562878100671,1.0,3.0517578125e-05
occlusion,64,0.015500125232697875,0.5481038351437135,0.8354681331621352,0.9266266122452156,0.8199680079294374,0.28736429801842167,0.09115847908308039,1.0,3.0517578125e-05
raw,64,0.0,0.6032132809801902,0.8803086375224858,0.9047787867830698,0.8803086375224858,0.27709535654229556,0.024470149260583995,1.0,3.0517578125e-05
swap,64,0.07288371800374827,0.47442834183380445,0.838883947729351,0.9275535296282494,0.7660002297256028,0.3644556058955466,0.0886695818988984,1.0,3.0517578125e-05
